Легкий уровень сложности
1 уровень: 12
2 уровень: 4
3 уровень: 0
4 уровень: 0
5 уровень: 0
6 уровень: 0
7 уровень: 0
8 уровень: 0
9 уровень: 0
10 уровень: 10
Средниий уровень сложности
1 уровень: 7
2 уровень: 0
3 уровень: 0
4 уровень: 0
5 уровень: 0
6 уровень: 0
7 уровень: 0
8 уровень: 0
9 уровень: 0
10 уровень: 0
Тяжелый уровень сложности
1 уровень: 11
2 уровень: 0
3 уровень: 0
4 уровень: 0
5 уровень: 0
6 уровень: 0
7 уровень: 0
8 уровень: 0
9 уровень: 3
10 уровень: 0
